PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,NameLength,FamilySize
1,0,3,1,22.0,7.25,2,23,1
2,1,1,0,38.0,71.2833,1,51,1
3,1,3,0,26.0,7.925,2,22,0
4,1,1,0,35.0,53.1,2,44,1
5,0,3,1,35.0,8.05,2,24,0
6,0,3,1,29.6991176471,8.4583,3,16,0
7,0,1,1,54.0,51.8625,2,23,0
8,0,3,1,2.0,21.075,2,30,4
9,1,3,0,27.0,11.1333,2,49,2
10,1,2,0,14.0,30.0708,1,35,1
11,1,3,0,4.0,16.7,2,31,2
12,1,1,0,58.0,26.55,2,24,0
13,0,3,1,20.0,8.05,2,30,0
14,0,3,1,39.0,31.275,2,27,6
15,0,3,0,14.0,7.8542,2,36,0
16,1,2,0,55.0,16.0,2,32,0
17,0,3,1,2.0,29.125,3,20,5
18,1,2,1,29.6991176471,13.0,2,28,0
19,0,3,0,31.0,18.0,2,55,1
20,1,3,0,29.6991176471,7.225,1,23,0
21,0,2,1,35.0,26.0,2,20,0
22,1,2,1,34.0,13.0,2,21,0
23,1,3,0,15.0,8.0292,3,27,0
24,1,1,1,28.0,35.5,2,28,0
25,0,3,0,8.0,21.075,2,29,4
26,1,3,0,38.0,31.3875,2,57,6
27,0,3,1,29.6991176471,7.225,1,23,0
28,0,1,1,19.0,263.0,2,30,5
29,1,3,0,29.6991176471,7.8792,3,29,0
30,0,3,1,29.6991176471,7.8958,2,19,0
31,0,1,1,40.0,27.7208,1,24,0
32,1,1,0,29.6991176471,146.5208,1,46,1
33,1,3,0,29.6991176471,7.75,3,24,0
34,0,2,1,66.0,10.5,2,21,0
35,0,1,1,28.0,82.1708,1,23,1
36,0,1,1,42.0,52.0,2,30,1
37,1,3,1,29.6991176471,7.2292,1,16,0
38,0,3,1,21.0,8.05,2,24,0
39,0,3,0,18.0,18.0,2,34,2
40,1,3,0,14.0,11.2417,1,27,1
41,0,3,0,40.0,9.475,2,46,1
42,0,2,0,27.0,21.0,2,56,1
43,0,3,1,29.6991176471,7.8958,1,19,0
44,1,2,0,3.0,41.5792,1,40,3
45,1,3,0,19.0,7.8792,3,29,0
46,0,3,1,29.6991176471,8.05,2,24,0
47,0,3,1,29.6991176471,15.5,3,17,1
48,1,3,0,29.6991176471,7.75,3,25,0
49,0,3,1,29.6991176471,21.6792,1,19,2
50,0,3,0,18.0,17.8,2,45,1
51,0,3,1,7.0,39.6875,2,26,5
52,0,3,1,21.0,7.8,2,28,0
53,1,1,0,49.0,76.7292,1,40,1
54,1,2,0,29.0,26.0,2,50,1
55,0,1,1,65.0,61.9792,1,30,1
56,1,1,1,29.6991176471,35.5,2,17,0
57,1,2,0,21.0,10.5,2,17,0
58,0,3,1,28.5,7.2292,1,19,0
59,1,2,0,5.0,27.75,2,28,3
60,0,3,1,11.0,46.9,2,34,7
61,0,3,1,22.0,7.2292,1,21,0
62,1,1,0,38.0,80.0,2,19,0
63,0,1,1,45.0,83.475,2,27,1
64,0,3,1,4.0,27.9,2,21,5
65,0,1,1,29.6991176471,27.7208,1,21,0
66,1,3,1,29.6991176471,15.2458,1,24,2
67,1,2,0,29.0,10.5,2,28,0
68,0,3,1,19.0,8.1583,2,24,0
69,1,3,0,17.0,7.925,2,31,6
70,0,3,1,26.0,8.6625,2,17,2
71,0,2,1,32.0,10.5,2,26,0
72,0,3,0,16.0,46.9,2,26,7
73,0,2,1,21.0,73.5,2,20,0
74,0,3,1,26.0,14.4542,1,27,1
75,1,3,1,32.0,56.4958,2,13,0
76,0,3,1,25.0,7.65,2,23,0
77,0,3,1,29.6991176471,7.8958,2,17,0
78,0,3,1,29.6991176471,8.05,2,24,0
79,1,2,1,0.83,29.0,2,29,2
80,1,3,0,30.0,12.475,2,24,0
81,0,3,1,22.0,9.0,2,20,0
82,1,3,1,29.0,9.5,2,27,0
83,1,3,0,29.6991176471,7.7875,3,30,0
84,0,1,1,28.0,47.1,2,23,0
85,1,2,0,17.0,10.5,2,19,0
86,1,3,0,33.0,15.85,2,55,3
87,0,3,1,16.0,34.375,2,22,4
88,0,3,1,29.6991176471,8.05,2,29,0
89,1,1,0,23.0,263.0,2,26,5
90,0,3,1,24.0,8.05,2,22,0
91,0,3,1,29.0,8.05,2,20,0
92,0,3,1,20.0,7.8542,2,26,0
93,0,1,1,46.0,61.175,2,27,1
94,0,3,1,26.0,20.575,2,23,3
95,0,3,1,59.0,7.25,2,17,0
96,0,3,1,29.6991176471,8.05,2,27,0
97,0,1,1,71.0,34.6542,1,25,0
98,1,1,1,23.0,63.3583,1,31,1
99,1,2,0,34.0,23.0,2,36,1
100,0,2,1,34.0,26.0,2,17,1
101,0,3,0,28.0,7.8958,2,23,0
102,0,3,1,29.6991176471,7.8958,2,32,0
103,0,1,1,21.0,77.2875,2,25,1
104,0,3,1,33.0,8.6542,2,26,0
105,0,3,1,37.0,7.925,2,30,2
106,0,3,1,28.0,7.8958,2,21,0
107,1,3,0,21.0,7.65,2,32,0
108,1,3,1,29.6991176471,7.775,2,22,0
109,0,3,1,38.0,7.8958,2,15,0
110,1,3,0,29.6991176471,24.15,3,19,1
111,0,1,1,47.0,52.0,2,30,0
112,0,3,0,14.5,14.4542,1,20,1
113,0,3,1,22.0,8.05,2,22,0
114,0,3,0,20.0,9.825,2,23,1
115,0,3,0,17.0,14.4583,1,21,0
116,0,3,1,21.0,7.925,2,21,0
117,0,3,1,70.5,7.75,3,20,0
118,0,2,1,29.0,21.0,2,31,1
119,0,1,1,24.0,247.5208,1,24,1
120,0,3,0,2.0,31.275,2,33,6
121,0,2,1,21.0,73.5,2,27,2
122,0,3,1,29.6991176471,8.05,2,26,0
123,0,2,1,32.5,30.0708,1,20,1
124,1,2,0,32.5,13.0,2,19,0
125,0,1,1,54.0,77.2875,2,27,1
126,1,3,1,12.0,11.2417,1,28,1
127,0,3,1,29.6991176471,7.75,3,19,0
128,1,3,1,24.0,7.1417,2,25,0
129,1,3,0,29.6991176471,22.3583,1,17,2
130,0,3,1,45.0,6.975,2,18,0
131,0,3,1,33.0,7.8958,1,20,0
132,0,3,1,20.0,7.05,2,30,0
133,0,3,0,47.0,14.5,2,46,1
134,1,2,0,29.0,26.0,2,45,1
135,0,2,1,25.0,13.0,2,30,0
136,0,2,1,23.0,15.0458,1,18,0
137,1,1,0,19.0,26.2833,2,28,2
138,0,1,1,37.0,53.1,2,27,1
139,0,3,1,16.0,9.2167,2,19,0
140,0,1,1,24.0,79.2,1,18,0
141,0,3,0,29.6991176471,15.2458,1,29,2
142,1,3,0,22.0,7.75,2,24,0
143,1,3,0,24.0,15.85,2,52,1
144,0,3,1,19.0,6.75,3,19,0
145,0,2,1,18.0,11.5,2,26,0
146,0,2,1,19.0,36.75,2,28,2
147,1,3,1,27.0,7.7958,2,44,0
148,0,3,0,9.0,34.375,2,32,4
149,0,2,1,36.5,26.0,2,40,2
150,0,2,1,42.0,13.0,2,33,0
151,0,2,1,51.0,12.525,2,26,0
152,1,1,0,22.0,66.6,2,33,1
153,0,3,1,55.5,8.05,2,16,0
154,0,3,1,40.5,14.5,2,31,2
155,0,3,1,29.6991176471,7.3125,2,21,0
156,0,1,1,51.0,61.3792,1,27,1
157,1,3,0,16.0,7.7333,3,32,0
158,0,3,1,30.0,8.05,2,15,0
159,0,3,1,29.6991176471,8.6625,2,19,0
160,0,3,1,29.6991176471,69.55,2,26,10
161,0,3,1,44.0,16.1,2,24,1
162,1,2,0,40.0,15.75,2,50,0
163,0,3,1,26.0,7.775,2,26,0
164,0,3,1,17.0,8.6625,2,15,0
165,0,3,1,1.0,39.6875,2,28,5
166,1,3,1,9.0,20.525,2,47,2
167,1,1,0,29.6991176471,55.0,2,38,1
168,0,3,0,45.0,27.9,2,47,5
169,0,1,1,29.6991176471,25.925,2,19,0
170,0,3,1,28.0,56.4958,2,13,0
171,0,1,1,61.0,33.5,2,25,0
172,0,3,1,4.0,29.125,3,20,5
173,1,3,0,1.0,11.1333,2,28,2
174,0,3,1,21.0,7.925,2,25,0
175,0,1,1,56.0,30.6958,1,23,0
176,0,3,1,18.0,7.8542,2,22,2
177,0,3,1,29.6991176471,25.4667,2,29,4
178,0,1,0,50.0,28.7125,1,26,0
179,0,2,1,30.0,13.0,2,18,0
180,0,3,1,36.0,0.0,2,19,0
181,0,3,0,29.6991176471,69.55,2,28,10
182,0,2,1,29.6991176471,15.05,1,16,0
183,0,3,1,9.0,31.3875,2,37,6
184,1,2,1,1.0,39.0,2,25,3
185,1,3,0,4.0,22.025,2,35,2
186,0,1,1,29.6991176471,50.0,2,21,0
187,1,3,0,29.6991176471,15.5,3,47,1
188,1,1,1,45.0,26.55,2,45,0
189,0,3,1,40.0,15.5,3,16,2
190,0,3,1,36.0,7.8958,2,19,0
191,1,2,0,32.0,13.0,2,19,0
192,0,2,1,19.0,13.0,2,21,0
193,1,3,0,19.0,7.8542,2,47,1
194,1,2,1,3.0,26.0,2,26,2
195,1,1,0,44.0,27.7208,1,41,0
196,1,1,0,58.0,146.5208,1,20,0
197,0,3,1,29.6991176471,7.75,3,19,0
198,0,3,1,42.0,8.4042,2,32,1
199,1,3,0,29.6991176471,7.75,3,32,0
200,0,2,0,24.0,13.0,2,38,0
201,0,3,1,28.0,9.5,2,30,0
202,0,3,1,29.6991176471,69.55,2,19,10
203,0,3,1,34.0,6.4958,2,26,0
204,0,3,1,45.5,7.225,1,20,0
205,1,3,1,18.0,8.05,2,24,0
206,0,3,0,2.0,10.4625,2,26,1
207,0,3,1,32.0,15.85,2,26,1
208,1,3,1,26.0,18.7875,1,27,0
209,1,3,0,16.0,7.75,3,25,0
210,1,1,1,40.0,31.0,1,16,0
211,0,3,1,24.0,7.05,2,14,0
212,1,2,0,35.0,21.0,2,26,0
213,0,3,1,22.0,7.25,2,22,0
214,0,2,1,30.0,13.0,2,27,0
215,0,3,1,29.6991176471,7.75,3,19,1
216,1,1,0,31.0,113.275,1,23,1
217,1,3,0,27.0,7.925,2,22,0
218,0,2,1,42.0,27.0,2,28,1
219,1,1,0,32.0,76.2917,1,21,0
220,0,2,1,30.0,10.5,2,18,0
221,1,3,1,16.0,8.05,2,30,0
222,0,2,1,27.0,13.0,2,20,0
223,0,3,1,51.0,8.05,2,23,0
224,0,3,1,29.6991176471,7.8958,2,20,0
225,1,1,1,38.0,90.0,2,28,1
226,0,3,1,22.0,9.35,2,28,0
227,1,2,1,19.0,10.5,2,25,0
228,0,3,1,20.5,7.25,2,31,0
229,0,2,1,18.0,13.0,2,25,0
230,0,3,0,29.6991176471,25.4667,2,23,4
231,1,1,0,35.0,83.475,2,44,1
232,0,3,1,29.0,7.775,2,24,0
233,0,2,1,59.0,13.5,2,25,0
234,1,3,0,5.0,31.3875,2,30,6
235,0,2,1,24.0,10.5,2,33,0
236,0,3,0,29.6991176471,7.55,2,28,0
237,0,2,1,44.0,26.0,2,17,1
238,1,2,0,8.0,26.25,2,32,2
239,0,2,1,19.0,10.5,2,31,0
240,0,2,1,33.0,12.275,2,22,0
241,0,3,0,29.6991176471,14.4542,1,21,1
242,1,3,0,29.6991176471,15.5,3,30,1
243,0,2,1,29.0,10.5,2,31,0
244,0,3,1,22.0,7.125,2,29,0
245,0,3,1,30.0,7.225,1,20,0
246,0,1,1,44.0,90.0,3,27,2
247,0,3,0,25.0,7.775,2,37,0
248,1,2,0,24.0,14.5,2,31,2
249,1,1,1,37.0,52.5542,2,29,2
250,0,2,1,54.0,26.0,2,29,1
251,0,3,1,29.6991176471,7.25,2,22,0
252,0,3,0,29.0,10.4625,2,42,2
253,0,1,1,62.0,26.55,2,25,0
254,0,3,1,30.0,16.1,2,24,1
255,0,3,0,41.0,20.2125,2,40,2
256,1,3,0,29.0,15.2458,1,39,2
257,1,1,0,29.6991176471,79.2,1,30,0
258,1,1,0,30.0,86.5,2,20,0
259,1,1,0,35.0,512.3292,1,16,0
260,1,2,0,50.0,26.0,2,27,1
261,0,3,1,29.6991176471,7.75,3,17,0
262,1,3,1,3.0,31.3875,2,33,6
263,0,1,1,52.0,79.65,2,17,2
264,0,1,1,40.0,0.0,2,21,0
265,0,3,0,29.6991176471,7.75,3,18,0
266,0,2,1,36.0,10.5,2,17,0
267,0,3,1,16.0,39.6875,2,25,5
268,1,3,1,25.0,7.775,2,24,1
269,1,1,0,58.0,153.4625,2,45,1
270,1,1,0,35.0,135.6333,2,22,0
271,0,1,1,29.6991176471,31.0,2,21,0
272,1,3,1,25.0,0.0,2,28,0
273,1,2,0,41.0,19.5,2,41,1
274,0,1,1,37.0,29.7,1,21,1
275,1,3,0,29.6991176471,7.75,3,26,0
276,1,1,0,63.0,77.9583,2,33,1
277,0,3,0,45.0,7.75,2,33,0
278,0,2,1,29.6991176471,0.0,2,27,0
279,0,3,1,7.0,29.125,3,18,5
280,1,3,0,35.0,20.25,2,32,2
281,0,3,1,65.0,7.75,3,16,0
282,0,3,1,28.0,7.8542,2,32,0
283,0,3,1,16.0,9.5,2,25,0
284,1,3,1,19.0,8.05,2,26,0
285,0,1,1,29.6991176471,26.0,2,26,0
286,0,3,1,33.0,8.6625,1,19,0
287,1,3,1,30.0,9.5,2,23,0
288,0,3,1,22.0,7.8958,2,20,0
289,1,2,1,42.0,13.0,2,20,0
290,1,3,0,22.0,7.75,3,20,0
291,1,1,0,26.0,78.85,2,28,0
292,1,1,0,19.0,91.0792,1,39,1
293,0,2,1,36.0,12.875,1,22,0
294,0,3,0,24.0,8.85,2,19,0
295,0,3,1,24.0,7.8958,2,16,0
296,0,1,1,29.6991176471,27.7208,1,17,0
297,0,3,1,23.5,7.2292,1,18,0
298,0,1,0,2.0,151.55,2,28,3
299,1,1,1,29.6991176471,30.5,2,21,0
300,1,1,0,50.0,247.5208,1,47,1
301,1,3,0,29.6991176471,7.75,3,40,0
302,1,3,1,29.6991176471,23.25,3,18,2
303,0,3,1,19.0,0.0,2,31,0
304,1,2,0,29.6991176471,12.35,3,19,0
305,0,3,1,29.6991176471,8.05,2,33,0
306,1,1,1,0.92,151.55,2,30,3
307,1,1,0,29.6991176471,110.8833,1,23,0
308,1,1,0,17.0,108.9,1,82,1
309,0,2,1,30.0,24.0,1,19,1
310,1,1,0,30.0,56.9292,1,30,0
311,1,1,0,24.0,83.1583,1,30,0
312,1,1,0,18.0,262.375,1,26,4
313,0,2,0,26.0,26.0,2,37,2
314,0,3,1,28.0,7.8958,2,22,0
315,0,2,1,43.0,26.25,2,18,2
316,1,3,0,26.0,7.8542,2,31,0
317,1,2,0,24.0,26.0,2,35,1
318,0,2,1,54.0,14.0,2,20,0
319,1,1,0,31.0,164.8667,2,24,2
320,1,1,0,40.0,134.5,1,56,2
321,0,3,1,22.0,7.25,2,18,0
322,0,3,1,27.0,7.8958,2,16,0
323,1,2,0,30.0,12.35,3,25,0
324,1,2,0,22.0,29.0,2,51,2
325,0,3,1,29.6991176471,69.55,2,24,10
326,1,1,0,36.0,135.6333,1,24,0
327,0,3,1,61.0,6.2375,2,25,0
328,1,2,0,36.0,13.0,2,23,0
329,1,3,0,31.0,20.525,2,46,2
330,1,1,0,16.0,57.9792,1,28,1
331,1,3,0,29.6991176471,23.25,3,18,2
332,0,1,1,45.5,28.5,2,19,0
333,0,1,1,38.0,153.4625,2,25,1
334,0,3,1,16.0,18.0,2,31,2
335,1,1,0,29.6991176471,133.65,2,50,1
336,0,3,1,29.6991176471,7.8958,2,18,0
337,0,1,1,29.0,66.6,2,25,1
338,1,1,0,41.0,134.5,1,31,0
339,1,3,1,45.0,8.05,2,21,0
340,0,1,1,45.0,35.5,2,28,0
341,1,2,1,2.0,26.0,2,30,2
342,1,1,0,24.0,263.0,2,30,5
343,0,2,1,28.0,13.0,2,26,0
344,0,2,1,25.0,13.0,2,42,0
345,0,2,1,36.0,13.0,2,23,0
346,1,2,0,24.0,13.0,2,29,0
347,1,2,0,40.0,13.0,2,25,0
348,1,3,0,29.6991176471,16.1,2,41,1
349,1,3,1,3.0,15.9,2,38,2
350,0,3,1,42.0,8.6625,2,16,0
351,0,3,1,23.0,9.225,2,22,0
352,0,1,1,29.6991176471,35.0,2,38,0
353,0,3,1,15.0,7.2292,1,18,2
354,0,3,1,25.0,17.8,2,25,1
355,0,3,1,29.6991176471,7.225,1,17,0
356,0,3,1,28.0,9.5,2,27,0
357,1,1,0,22.0,55.0,2,27,1
358,0,2,0,38.0,13.0,2,25,0
359,1,3,0,29.6991176471,7.8792,3,20,0
360,1,3,0,29.6991176471,7.8792,3,33,0
361,0,3,1,40.0,27.9,2,18,5
362,0,2,1,29.0,27.7208,1,25,1
363,0,3,0,45.0,14.4542,1,31,1
364,0,3,1,35.0,7.05,2,15,0
365,0,3,1,29.6991176471,15.5,3,19,1
366,0,3,1,30.0,7.25,2,30,0
367,1,1,0,60.0,75.25,1,48,1
368,1,3,0,29.6991176471,7.2292,1,30,0
369,1,3,0,29.6991176471,7.75,3,19,0
370,1,1,0,24.0,69.3,1,29,0
371,1,1,1,25.0,55.4417,1,27,1
372,0,3,1,18.0,6.4958,2,25,1
373,0,3,1,19.0,8.05,2,26,0
374,0,1,1,22.0,135.6333,1,19,0
375,0,3,0,3.0,21.075,2,26,4
376,1,1,0,29.6991176471,82.1708,1,37,1
377,1,3,0,22.0,7.25,2,31,0
378,0,1,1,27.0,211.5,1,25,2
379,0,3,1,20.0,4.0125,1,19,0
380,0,3,1,19.0,7.775,2,27,0
381,1,1,0,42.0,227.525,1,21,0
382,1,3,0,1.0,15.7417,1,27,2
383,0,3,1,32.0,7.925,2,18,0
384,1,1,0,35.0,52.0,2,51,1
385,0,3,1,29.6991176471,7.8958,2,22,0
386,0,2,1,18.0,73.5,2,25,0
387,0,3,1,1.0,46.9,2,31,7
388,1,2,0,36.0,13.0,2,16,0
389,0,3,1,29.6991176471,7.7292,3,20,0
390,1,2,0,17.0,12.0,1,21,0
391,1,1,1,36.0,120.0,2,26,3
392,1,3,1,21.0,7.7958,2,22,0
393,0,3,1,28.0,7.925,2,28,2
394,1,1,0,23.0,113.275,1,22,1
395,1,3,0,24.0,16.7,2,51,2
396,0,3,1,22.0,7.7958,2,19,0
397,0,3,0,31.0,7.8542,2,19,0
398,0,2,1,46.0,26.0,2,23,0
399,0,2,1,23.0,10.5,2,16,0
400,1,2,0,28.0,12.65,2,32,0
401,1,3,1,39.0,7.925,2,18,0
402,0,3,1,26.0,8.05,2,15,0
403,0,3,0,21.0,9.825,2,24,1
404,0,3,1,28.0,15.85,2,30,1
405,0,3,0,20.0,8.6625,2,23,0
406,0,2,1,34.0,21.0,2,18,1
407,0,3,1,51.0,7.75,2,32,0
408,1,2,1,3.0,18.75,2,30,2
409,0,3,1,21.0,7.775,2,33,0
410,0,3,0,29.6991176471,25.4667,2,18,4
411,0,3,1,29.6991176471,7.8958,2,18,0
412,0,3,1,29.6991176471,6.8583,3,15,0
413,1,1,0,33.0,90.0,3,22,1
414,0,2,1,29.6991176471,0.0,2,30,0
415,1,3,1,44.0,7.925,2,25,0
416,0,3,0,29.6991176471,8.05,2,39,0
417,1,2,0,34.0,32.5,2,47,2
418,1,2,0,18.0,13.0,2,29,2
419,0,2,1,30.0,13.0,2,26,0
420,0,3,0,10.0,24.15,2,25,2
421,0,3,1,29.6991176471,7.8958,1,22,0
422,0,3,1,21.0,7.7333,3,19,0
423,0,3,1,29.0,7.875,2,18,0
424,0,3,0,28.0,14.4,2,54,2
425,0,3,1,18.0,20.2125,2,27,2
426,0,3,1,29.6991176471,7.25,2,22,0
427,1,2,0,28.0,26.0,2,43,1
428,1,2,0,19.0,26.0,2,67,0
429,0,3,1,29.6991176471,7.75,3,16,0
430,1,3,1,32.0,8.05,2,34,0
431,1,1,1,28.0,26.55,2,41,0
432,1,3,0,29.6991176471,16.1,2,49,1
433,1,2,0,42.0,26.0,2,51,1
434,0,3,1,17.0,7.125,2,26,0
435,0,1,1,50.0,55.9,2,25,1
436,1,1,0,14.0,120.0,2,25,3
437,0,3,0,21.0,34.375,2,36,4
438,1,2,0,24.0,18.75,2,37,5
439,0,1,1,64.0,263.0,2,17,5
440,0,2,1,31.0,10.5,2,38,0
441,1,2,0,45.0,26.25,2,43,2
442,0,3,1,20.0,9.5,2,15,0
443,0,3,1,25.0,7.775,2,25,1
444,1,2,0,28.0,13.0,2,25,0
445,1,3,1,29.6991176471,8.1125,2,33,0
446,1,1,1,4.0,81.8583,2,25,2
